douban id,imdb id
25882296,tt6869538
27191492,tt7124742
11510624,tt3204696
26667056,tt5342650
25716096,tt3401962
26345736,tt4903518
10763164,tt2957774
25809384,tt2058673
26266893,tt7605074
5364978,tt1997607
26775933,tt7649320
27179414,tt9887130
26827040,tt5846644
20266753,tt2599716
6973376,tt2765340
25444447,tt3469592
25919910,tt4851640
27039069,tt8846198
25723583,tt1615160
26662192,tt5425144
26816383,tt6772874
30295905,tt10218664
26879060,tt6398666
26752088,tt7362036
26425068,tt6015328
11625097,tt3444184
4873490,tt2115388
26744597,tt9490414
6982558,tt2034800
25827741,tt3308358
27668250,tt9647768
1578714,tt0451279
26277313,tt4644382
27110296,tt9282616
26425063,tt7183578
26639958,tt5956006
10604892,tt3341084
4812830,tt2557868
26662798,tt7627782
26320029,tt5266678
30362186,tt11162126
26715636,tt9581076
26426194,tt4779682
26236632,tt3158408
26850326,tt6421362
20376577,tt3043630
26630781,tt5918090
2131940,tt0803096
26728669,tt8071308
26336252,tt4912910
26279120,tt5119546
25881780,tt4819544
10807909,tt3950078
30261964,tt10734292
24745500,tt4019426
4718369,tt1727396
26709258,tt10734928
11529526,tt2278392
26311973,tt5290882
26753020,tt6908536
6011806,tt2645044
24751754,tt3579688
25895276,tt4818250
10831445,tt3214392
26270502,tt7055592
26140241,tt4572856
3804891,tt1456660
26661189,tt8319694
26633257,tt8185182
26762744,tt10097530
24827387,tt5354664
26861685,tt6878882
10545939,tt3696086
26661191,tt6814080
26603666,tt4940416
26316956,tt7628068
27114416,tt9575160
33436135,tt10564446
25964071,tt5061814
26366496,tt8434380
24827406,tt4819498
25827963,tt4591310
26794435,tt10627720
26411409,tt4892714
24753810,tt3540136
27605698,tt8529186
4082101,tt2193269
11614603,tt3644610
26352445,tt5998744
25723907,tt3781476
10833923,tt3467440
4212172,tt1424310
4176542,tt2290645
26971645,tt9626928
25815034,tt6044910
21941804,tt3469910
5045678,tt1920885
30146756,tt9496406
21359690,tt2943974
30423193,tt10295602
34825976,tt11151998
30163509,tt9597190
27087724,tt7131622
20471852,tt2592614
24735062,tt3285802
26260853,tt4630562
25945280,tt4076934
26416155,tt4839424
25829175,tt6466464
26394152,tt4701182
20505982,tt5112622
24751763,tt4623812
19973815,tt2910520
26389069,tt4687848
26691361,tt8320654
25881786,tt5297596
24695277,tt2952602
26752547,tt10098494
30331149,tt9288776
26774722,tt7286908
27186348,tt10428252
7056398,tt2193271
30376977,tt10584272
3711760,tt1861421
4946963,tt1652352
26354336,tt4819576
26662193,tt7830888
30317706,tt9243442
27060077,tt6966692
26581837,tt6628322
30204413,tt10703752
26698000,tt7232860
26628329,tt7962598
24879839,tt3594826
2303845,tt3508840
26611801,tt5396872
10604486,tt2644714
20513059,tt3175936
25857966,tt6288650
26992383,tt8489090
5317291,tt1717715
25911595,tt5057982
10438426,tt2369127
26995137,tt6081412
25951736,tt4542692
10574468,tt2169322
11501396,tt2385138
26796664,tt7262882
27140071,tt9034530
26748673,tt5847286
21350556,tt5269396
27193043,tt7616798
27145041,tt10736726
26425062,tt9378850
25856453,tt7870578
26220731,tt4412240
27074316,tt8385474
26301582,tt6091936
10807916,tt3465456
25872931,tt4255554
25890017,tt3741700
6126442,tt2168000
10527288,tt2354196
4881607,tt3313908
10772258,tt2275080
25746375,tt4786802
3077412,tt4276752
30166972,tt9586294
26696879,tt6605830
6973460,tt2557256
4004731,tt1498858
25823833,tt3672840
3804746,tt1456520
25801066,tt5273624
24736566,tt3505950
27114417,tt8443556
3074503,tt1155076
27172891,tt8020896
11627068,tt3336934
23788440,tt3197766
26363254,tt7131870
26816090,tt7937440
4218768,tt2371411
25713408,tt3906444
26787124,tt7619402
10833924,tt2901548
25792690,tt3469440
30221757,tt10218674
10537853,tt2513344
10759926,tt3311014
4735944,tt1907717
5364987,tt1980198
27102569,tt9036926
26671361,tt7162392
27663742,tt10066162
4707230,tt1646214
24753811,tt3564806
5364905,tt2460488
26309788,tt3731562
27065898,tt7587984
26658568,tt5665040
26219893,tt5882704
3821067,tt1462900
11589036,tt2267968
24879858,tt3667798
5319835,tt1674766
26331839,tt6968118
24529353,tt2238032
25849475,tt3833460
30206431,tt9496220
26654146,tt7645502
30176393,tt11210032
27202819,tt10017680
30122633,tt8774260
25805054,tt4320236
25834473,tt4024368
26985857,tt7039862
27069427,tt7521990
24723061,tt4912418
26910820,tt7959042
26718803,tt10443324
4926002,tt6449936
16475702,tt3013126
26259634,tt4657764
24847343,tt4814354
26826398,tt7245176
26322774,tt4986830
25955779,tt3949660
26862829,tt6654316
25785314,tt4542658
26760160,tt7180392
27038183,tt7431894
26336253,tt5896962
25880244,tt4481934
30413052,tt9635616
11598977,tt2888046
26266072,tt4196776
26786669,tt6924650
21359619,tt3121474
26711487,tt6315750
27019527,tt7205208
26337866,tt4613272
10604893,tt3919278
26972258,tt7298400
25858758,tt5866930
7054604,tt2109248
10727641,tt2381249
25717233,tt3890264
25845910,tt4788934
26717795,tt6461526
26644002,tt6857276
26290642,tt5011290
34786971,tt11274256
26289144,tt4819514
5350027,tt6157626
26035290,tt6513406
3792799,tt1602572
26125779,tt5842624
26729868,tt5813366
26313973,tt4979652
26820833,tt5938816
5308265,tt2017561
26274910,tt4412218
30394535,tt10489348
22557335,tt7618430
20451290,tt2345759
3993588,tt2909116
27201353,tt7336572
20444530,tt3310600
26106958,tt4170472
10540066,tt2458314
26279433,tt5257730
26857793,tt6608132
26606242,tt4957446
30282387,tt10195210
3649049,tt1410063
26994789,tt9409854
26698301,tt5515022
25709273,tt3421246
30293828,tt9844650
26277156,tt5114564
26925317,tt7946836
26966580,tt7743588
20513061,tt3816526
25805741,tt3896016
26984538,tt7263974
25962735,tt5033038
26985127,tt8755316
6874741,tt2401825
10467774,tt2759302
23331914,tt2713180
26299410,tt5190872
26647117,tt6389316
26351867,tt5827496
6799191,tt2259360
25917973,tt4078856
6124012,tt2204340
30269016,tt11273332
27073057,tt10394802
20020577,tt3469964
5194471,tt2062596
30335059,tt10250750
25921812,tt6167014
25832758,tt4157940
3097572,tt1025100
26334559,tt5237980
